"County","Sector","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","Total Usage"
"NEVADA","Residential","     437.396740","     493.909332","     480.961310","     446.005889","     445.544035","     470.166235","     432.662221","     405.497354","     407.357304","     423.092581","     426.072924","     426.102500","     424.986940","     424.131971","     421.006502","     413.753090","     411.515207","     397.475401","     398.177743","     378.559416","     379.084510","     363.365657","     378.253239","     371.661337","     367.313721","     342.285940","     339.726176","     327.047146","     328.218954","     323.128959","     313.971178","     322.435572","     313.879857","   13034.746941"
"NEVADA","Total","     697.188838","     748.322890","     729.253761","     708.958422","     714.072195","     741.021633","     659.396729","     626.495136","     633.754043","     658.196425","     660.776911","     658.407976","     654.807115","     659.579740","     666.875190","     654.655581","     649.085696","     626.592861","     624.831778","     595.023422","     612.012007","     581.266280","     588.701930","     571.250322","     557.742120","     529.953946","     522.964434","     507.926251","     512.402460","     497.630683","     483.297529","     500.412367","     481.975536","   20314.832207"
"ORANGE","Non-Residential","   12413.599429","   11853.513341","   11912.892416","   12837.672022","   13140.267160","   13304.220525","   13515.591065","   13817.543909","   13692.811964","   13420.069408","   13303.702545","   13225.445254","   13153.675575","   13754.763192","   14392.746298","   14254.957776","   14470.474485","   13967.397532","   13785.838172","   13337.022894","   12998.245036","   12108.068458","   13728.246455","   13228.239598","   13372.900311","   12661.355167","   12112.379167","   11656.148780","   11827.008204","   11424.589708","   11898.586249","   11467.576831","   11638.710702","  427676.259628"
"ORANGE","Residential","    7830.122428","    7360.151076","    7778.266791","    6981.257680","    6853.190877","    6822.791021","    6718.606580","    6907.047858","    7039.246647","    6839.710900","    7068.867388","    6694.089038","    6610.335912","    6916.409459","    7138.935234","    6868.428335","    6851.673513","    6717.512324","    6612.052543","    6374.691670","    5989.097849","    5575.807012","    6362.084768","    5878.868129","    5884.504900","    5876.874410","    5618.981446","    5441.322625","    5463.244024","    5194.533248","    5493.876861","    5137.491263","    5120.565728","  212020.639537"
"ORANGE","Total","   20243.721856","   19213.664417","   19691.159206","   19818.929702","   19993.458037","   20127.011546","   20234.197645","   20724.591766","   20732.058612","   20259.780308","   20372.569933","   19919.534292","   19764.011487","   20671.172650","   21531.681533","   21123.386110","   21322.147997","   20684.909856","   20397.890715","   19711.714564","   18987.342885","   17683.875470","   20090.331224","   19107.107727","   19257.405211","   18538.229577","   17731.360613","   17097.471405","   17290.252227","   16619.122956","   17392.463111","   16605.068094","   16759.276430","  639696.899162"
"PLACER","Non-Residential","    1458.116082","    1437.974192","    1393.799847","    1467.021155","    1498.225466","    1506.632275","    1539.292174","    1531.587951","    1546.273590","    1513.471112","    1525.913650","    1540.245121","    1548.311333","    1581.946788","    1657.030894","    1676.382855","    1499.888690","    1432.050456","    1496.078925","    1411.992669","    1381.298802","    1296.365383","    1376.448374","    1286.815398","    1250.303317","    1090.630876","    1005.476406","    1100.881046","    1047.857614","     940.749758","     875.726113","     894.228237","     811.631818","   44620.648367"
"PLACER","Residential","    1630.508325","    1595.175139","    1598.877143","    1446.878457","    1407.548116","    1463.242998","    1398.736149","    1363.292650","    1370.671232","    1367.407051","    1386.148287","    1353.387658","    1336.586432","    1369.591386","    1362.326158","    1327.737239","    1334.915440","    1262.951958","    1215.503378","    1145.191244","    1055.026730","     979.273700","     976.114008","     928.232331","     878.626181","     844.243780","     823.587286","     757.250491","     746.608507","     728.522643","     711.086467","     702.322530","     680.960940","   38548.532034"
"PLACER","Total","    3088.624407","    3033.149332","    2992.676990","    2913.899612","    2905.773582","    2969.875273","    2938.028323","    2894.880602","    2916.944823","    2880.878163","    2912.061937","    2893.632779","    2884.897765","    2951.538174","    3019.357052","    3004.120093","    2834.804130","    2695.002414","    2711.582302","    2557.183912","    2436.325531","    2275.639084","    2352.562383","    2215.047729","    2128.929498","    1934.874656","    1829.063692","    1858.131537","    1794.466121","    1669.272402","    1586.812580","    1596.550767","    1492.592759","   83169.180404"
"PLUMAS","Non-Residential","     100.512709","     110.417595","     115.740778","     115.807033","     112.628920","     103.190555","     106.225266","     103.070610","     102.343580","     110.609622","     126.465434","     117.909557","      97.813564","      98.988679","     114.148865","     112.364970","     120.319907","      91.418440","      92.954336","      99.285165","     122.358360","      93.942997","     109.121884","     107.121101","      98.113408","     127.562938","      93.104267","      74.705060","      62.908106","     112.036544","     113.846524","      94.336820","      90.154514","    3451.528108"
"PLUMAS","Residential","      99.795835","      99.775091","     100.259212","      94.506227","      93.047963","      98.420297","      96.620509","      90.996176","      98.212213","     101.247843","      97.640383","     101.367825","     102.029465","     103.299584","     103.620604","     103.562824","     103.450845","     102.505109","     101.278515","      96.153309","      96.899859","      92.753466","      92.930694","      94.676095","      93.749315","      90.033386","      88.417064","      86.200226","      88.051175","     116.951203","     107.747799","      89.257865","      88.269715","    3213.727691"
"PLUMAS","Total","     200.308544","     210.192686","     215.999990","     210.313260","     205.676883","     201.610852","     202.845775","     194.066786","     200.555793","     211.857465","     224.105817","     219.277383","     199.843028","     202.288264","     217.769469","     215.927795","     223.770752","     193.923549","     194.232851","     195.438474","     219.258219","     186.696463","     202.052578","     201.797196","     191.862723","     217.596324","     181.521330","     160.905286","     150.959280","     228.987747","     221.594323","     183.594684","     178.424229","    6665.255798"
"RIVERSIDE","Non-Residential","    8720.016764","    8389.538460","    7934.638383","    8085.191661","    8171.189819","    8157.182763","    8164.868098","    8100.383540","    8702.441246","    8471.018008","    8532.856660","    7772.579837","    7660.249050","    7837.396990","    8285.818097","    8251.077578","    8280.728479","    7839.403630","    7674.079514","    7284.225452","    6671.486246","    5734.913548","    6715.225913","    6120.459356","    5555.655893","    5515.358967","    5288.372868","    5077.687698","    4985.983153","    3644.368289","    3585.566367","    3517.474625","    3382.851110","  228110.288062"
"RIVERSIDE","Residential","    9060.556508","    8610.772069","    8844.552883","    7678.103798","    7643.105779","    7633.771197","    7171.032032","    7076.846074","    6770.338705","    6603.978912","    6675.007152","    6579.060398","    6337.176264","    6606.786959","    6772.664092","    6683.000356","    6902.634736","    5392.197944","    5018.870525","    5469.061636","    4832.840570","    4682.541278","    4908.392032","    4631.335840","    4405.222929","    4324.404946","    4263.842855","    4060.422590","    4026.994776","    3525.509250","    3625.502620","    3387.375972","    3381.206731","  193585.110408"
"RIVERSIDE","Total","   17780.573271","   17000.310529","   16779.191266","   15763.295459","   15814.295598","   15790.953961","   15335.900130","   15177.229615","   15472.779951","   15074.996919","   15207.863812","   14351.640235","   13997.425315","   14444.183948","   15058.482188","   14934.077934","   15183.363215","   13231.601574","   12692.950039","   12753.287087","   11504.326815","   10417.454826","   11623.617945","   10751.795196","    9960.878822","    9839.763913","    9552.215723","    9138.110289","    9012.977929","    7169.877540","    7211.068987","    6904.850597","    6764.057841","  421695.398469"
"SACRAMENTO","Non-Residential","    6277.272312","    6207.679065","    5907.905558","    6214.951203","    6209.838355","    6231.306291","    6034.556975","    6173.463852","    6242.654996","    6110.299094","    6103.081900","    6091.787991","    6179.000717","    6260.059740","    6391.040491","    6417.080853","    6238.386571","    6133.021491","    5916.885984","    5662.606087","    5461.094277","    5517.053512","    5593.337741","    5565.037137","    5292.986317","    5274.811552","    5165.556317","    5024.456238","    4929.608464","    4932.097550","    4936.361466","    4779.498052","    4784.024951","  190258.803100"
"SACRAMENTO","Residential","    5132.808312","    5050.957802","    5140.373465","    4696.814859","    4705.823910","    5152.318519","    4779.222387","    4722.169209","    4719.432126","    4679.896128","    4678.508016","    4628.597474","    4523.009215","    4725.395112","    4710.259563","    4650.150306","    4761.481143","    4575.788431","    4422.652058","    4378.942306","    4103.017070","    4034.798580","    4141.012395","    3958.393622","    3983.332549","    3837.197079","    3865.551540","    3581.202568","    3694.828431","    3650.245317","    3634.599466","    3617.630125","    3625.074714","  144561.483797"
"SACRAMENTO","Total","   11410.080625","   11258.636867","   11048.279022","   10911.766063","   10915.662266","   11383.624810","   10813.779362","   10895.633061","   10962.087123","   10790.195221","   10781.589916","   10720.385465","   10702.009933","   10985.454852","   11101.300054","   11067.231159","   10999.867714","   10708.809922","   10339.538042","   10041.548393","    9564.111347","    9551.852092","    9734.350136","    9523.430758","    9276.318865","    9112.008631","    9031.107857","    8605.658806","    8624.436896","    8582.342867","    8570.960932","    8397.128177","    8409.099665","  334820.286899"
"SAN BENITO","Non-Residential","     248.712461","     244.209047","     234.623740","     241.357256","     255.185968","     254.564901","     262.381106","     249.282830","     240.403744","     237.902492","     214.971768","     199.153036","     191.976362","     198.598724","     198.343987","     203.516642","     199.086680","     189.055341","     194.502215","     184.112811","     204.788273","     211.088498","     181.392988","     172.421522","     149.660472","     145.933233","     129.076847","     122.863609","     117.801586","     110.459338","     115.927845","     117.265477","     117.686238","    6338.307037"
"SAN BENITO","Residential","     150.131121","     142.137978","     144.833394","     129.679866","     123.724918","     123.385181","     118.813600","     118.002713","     115.663778","     119.822746","     117.979513","     116.334161","     116.641171","     117.414629","     117.511799","     119.248949","     118.459171","     115.985414","     117.395856","     114.334110","     111.073441","     105.789143","     109.680197","     104.493261","      96.909250","      90.384096","      85.048890","      78.643154","      77.687541","      75.114599","      71.536465","      71.635891","      70.136148","    3605.632144"
"SAN BENITO","Total","     398.843582","     386.347025","     379.457134","     371.037122","     378.910886","     377.950082","     381.194706","     367.285542","     356.067522","     357.725238","     332.951281","     315.487198","     308.617532","     316.013353","     315.855785","     322.765591","     317.545851","     305.040755","     311.898070","     298.446920","     315.861713","     316.877641","     291.073185","     276.914782","     246.569722","     236.317328","     214.125736","     201.506763","     195.489127","     185.573936","     187.464310","     188.901368","     187.822386","    9943.939172"
"SAN BERNARDINO","Non-Residential","   10327.755820","   10137.255897","    9797.575011","    9926.183260","   10158.958013","   10068.393502","    9935.333655","    9753.892696","    9924.611709","    9627.037642","    9534.652774","    8973.855710","    8845.375603","    8950.400105","    9874.365745","   10001.653848","    9639.692554","    9463.292412","    9281.295320","    8897.174748","    8827.110108","    7447.941273","    8901.546372","    8516.774481","    7990.736453","    8020.531505","    7807.065961","    7395.124652","    7319.810948","    8013.680134","    7875.888177","    7804.448465","    7623.225231","  296662.639784"
"SAN BERNARDINO","Residential","    6301.858375","    6031.580795","    6112.195914","    5332.807265","    5166.839880","    5168.269909","    4966.459776","    4930.998541","    4755.800291","    4688.303010","    4773.309168","    4717.822006","    4600.985258","    4797.299633","    4913.811803","    4785.955418","    4977.804448","    5242.224903","    5044.687569","    4251.133125","    3817.763170","    3717.438413","    3950.487977","    3631.979804","    3627.311783","    3553.100913","    3548.364224","    3429.884601","    3411.102400","    3797.836492","    3964.319884","    3773.015371","    3825.313313","  149608.065432"
"SAN BERNARDINO","Total","   16629.614195","   16168.836692","   15909.770925","   15258.990525","   15325.797893","   15236.663411","   14901.793431","   14684.891237","   14680.412000","   14315.340652","   14307.961941","   13691.677716","   13446.360861","   13747.699739","   14788.177548","   14787.609265","   14617.497001","   14705.517316","   14325.982889","   13148.307872","   12644.873278","   11165.379687","   12852.034349","   12148.754285","   11618.048237","   11573.632418","   11355.430185","   10825.009253","   10730.913347","   11811.516626","   11840.208061","   11577.463836","   11448.538544","  446270.705215"
"SAN DIEGO","Non-Residential","   12802.545160","   12353.416157","   11722.882508","   12453.450012","   12793.962295","   12608.982609","   12808.962889","   12883.382536","   12903.058095","   12640.537766","   12478.860246","   12263.675618","   12337.887255","   12616.066215","   12911.135965","   12701.044111","   12559.810623","   12001.514693","   12017.993290","   11435.346832","   11083.705409","   10838.441898","   12068.450830","   11593.133646","   10681.726723","   10449.250859","    9974.420217","    9684.593367","    9515.537904","    9359.186998","    9381.470483","    8890.077469","    9191.469088","  382005.979766"
"SAN DIEGO","Residential","    7440.356338","    7132.119555","    7398.513420","    6587.433246","    6719.539029","    6751.626817","    6687.843603","    6835.100866","    6833.124196","    6782.711051","    6891.398408","    6692.379725","    6628.546666","    6792.151366","    6917.552971","    6752.155162","    6718.482671","    6328.222467","    6331.299612","    6043.546842","    5677.922852","    5494.546706","    5853.188395","    5840.593866","    5713.605691","    5530.367207","    5385.364689","    5213.745075","    5218.545736","    5062.419031","    5120.240950","    4879.208742","    5204.506395","  205458.359346"
"SAN DIEGO","Total","   20242.901498","   19485.535712","   19121.395927","   19040.883258","   19513.501324","   19360.609426","   19496.806491","   19718.483401","   19736.182291","   19423.248817","   19370.258654","   18956.055343","   18966.433921","   19408.217580","   19828.688935","   19453.199272","   19278.293294","   18329.737160","   18349.292902","   17478.893674","   16761.628261","   16332.988604","   17921.639225","   17433.727512","   16395.332414","   15979.618067","   15359.784906","   14898.338441","   14734.083640","   14421.606029","   14501.711432","   13769.286211","   14395.975483","  587464.339105"
"SAN FRANCISCO","Non-Residential","    3605.703411","    3442.453431","    3466.340342","    4153.449659","    4174.173902","    4249.488076","    4291.657425","    4354.083259","    4390.210193","    4370.067167","    4347.535935","    4362.646692","    4222.399149","    4143.038183","    4227.384315","    4140.270978","    3826.947453","    3911.564555","    3686.003253","    3615.177323","    3687.770143","    3660.861684","    3867.522578","    3761.262260","    3463.161755","    3813.178630","    3726.593292","    3691.417327","    3602.857491","    3719.937452","    3702.172356","    3723.258605","    3766.371879","  129166.960153"
"SAN FRANCISCO","Residential","    1514.882206","    1547.697139","    1565.691020","    1477.894930","    1452.458022","    1470.656485","    1455.425945","    1431.468469","    1437.825958","    1502.480075","    1512.173693","    1524.371152","    1518.165568","    1501.412074","    1484.360703","    1467.471338","    1491.039004","    1444.378889","    1381.184915","    1363.715748","    1365.733319","    1345.605140","    1414.770120","    1431.182896","    1355.956962","    1315.529271","    1273.247416","    1280.021070","    1257.328920","    1252.797683","    1210.064743","    1244.609201","    1218.100550","   46509.700624"
"SAN FRANCISCO","Total","    5120.585617","    4990.150570","    5032.031362","    5631.344589","    5626.631924","    5720.144562","    5747.083369","    5785.551728","    5828.036150","    5872.547242","    5859.709628","    5887.017844","    5740.564717","    5644.450257","    5711.745018","    5607.742317","    5317.986457","    5355.943444","    5067.188168","    4978.893071","    5053.503462","    5006.466824","    5282.292698","    5192.445156","    4819.118716","    5128.707901","    4999.840708","    4971.438397","    4860.186411","    4972.735135","    4912.237099","    4967.867806","    4984.472429","  175676.660776"
